id,max pitch (Cents),min pitch (Cents),mean pitch (Cents),num change points,standard deviation (Cents),zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid (Cents),spectral bandwidth (Cents),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,is_sa,is_ri,is_pa,is_ni,is_ma,is_ga,is_dha
11.0,-1.7061059562239416,-0.5306579890385252,-0.9631866157847112,0.6772615684796934,-1.1175047770596938,-0.5753252494055779,-0.9619355614867166,-0.8324178493572437,0.059281304305865166,-1.1341384102049592,-1.065346291926121,-0.3139390879588429,0.9784224257973055,0.7170423333564588,-0.5085202335148419,0.267263636951917,0.9580085120047818,0.34575116086792934,0.3120554522049085,-0.6487917235562957,0.05614676060432912,2.1074935655536837,0.32037675356034284,0.38712811263247215,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,0.9214785180058935,-0.5314647185820609,1.216883081653968,0.8934183189838306,1.4540186889021327,-0.3224734264592198,-1.6641872495725187,-1.6119160360857872,0.6198663159471305,-1.1350453565533731,-1.6042944373238934,-1.577201303291953,1.4823539186522763,-0.1579026499746799,1.5338607416709802,3.8567301175288526,-1.3535911362530624,0.4675254517978807,2.025555380588428,0.1528811308315928,2.3154053155487633,-0.03284702841746131,-2.3867251498565407,2.072904860794305,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.4651011528238485,-0.5514129786603328,1.992947320398845,1.4580726876476988,1.1118202588556094,0.08852860744779499,-1.7149658009878093,-1.663893651752856,0.09546007393945068,-0.030138849812903632,-0.6829617818296982,-2.306535585418969,-0.3211987823535751,0.4969614125561791,3.133526634574849,3.477731709567015,-1.562401958615489,1.9671433548014357,4.28528550602653,-1.4157797142283284,-0.7697425658912941,1.4115218046178264,-0.1445844364985255,0.32053844506436097,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14.0,0.19148301978386525,-0.34290648044020616,1.3018559197678816,1.197802314591697,0.24402858282670217,1.7001052853153382,-1.7729031465052605,-1.7229236620484745,-0.4428363291867115,1.3585688053949665,1.5437019694209575,-2.7755454699631636,-1.1558527451053422,-0.6486299082296402,-1.5779710353931746,0.8369699342577076,0.5032897860919036,2.1819868227445554,3.038118648029703,0.25275131860186123,0.6636162826080062,0.8982311548809211,1.8081425938778568,0.7589502005613971,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,-2.1180953095951525,-0.32531595128729207,-1.232970575569358,-0.12560636196424435,-1.2831552238444774,-0.6511899469183697,-1.1742509213814898,-1.1924949209173503,2.6912201187716094,-1.867081617707261,-2.295032935564387,-0.6143330428011883,1.795198095994339,0.5085795425221189,0.6204874352993743,0.5303430199237208,0.42236271683746024,1.666557929319011,-0.13371105889360796,-0.8915612745544547,-0.43688272342967466,1.2387750164338986,0.4186878392057904,0.07618347463284549,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16.0,0.9568125487083757,-0.5989726762366515,-0.2394633333299268,0.11701856207101159,0.5124811815135338,-0.36833249425128595,-1.050360390226993,-0.8077626549561538,0.11179093533938565,-0.11398903643440993,-0.1699167634399814,-0.41559759611777225,0.13365716656145651,-0.4927539252157559,0.9993936451508947,-0.07639897961321407,1.0185618424611849,0.2729773327073877,-2.068315421170555,-0.6131409820244601,-1.2558512280252747,1.0769484480051135,-0.5827545730915943,-1.0384892514187656,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,-0.4397532488930501,-0.5973830113321623,-1.1535185823156167,-0.6902607306281127,-1.0380235937091993,-0.6056676875747655,-0.5501691974267006,-0.666563041708254,-0.11194524720911057,-1.0262177497997291,-0.4467270235222333,-0.10951659317114998,0.8615038893060506,1.0027936798375086,0.07650531136704833,-0.8441235354831843,-0.1341865216902959,1.487553435957967,-0.4720066041286262,-0.33498648644220685,-1.2686628788716796,1.0028805763092763,-0.09253107284749636,0.08172453707387792,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,-0.34833872488351936,-0.42098734991759484,-0.7819927816319803,-0.5049835159102809,-0.5900478619229508,-0.5374129721921027,-0.06667476235811239,-0.294857922908227,-0.1746344523577224,-0.6775911958493105,-0.07293205321476372,0.20006068729992157,0.7584608124516429,0.50256760758669,-0.25247185565038427,0.14294429534675704,-0.6701201021951624,0.6712617528989816,0.13552122879422365,-0.3883750420983512,-1.258374121935469,1.149536769673899,0.18590045068873798,0.5961640352289324,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19.0,-0.30206944036686934,-0.5517376168421277,-0.4277400630434325,-0.38587673502024616,-0.5815684580386745,-0.46373320549436675,-0.3767369025282489,-0.3930541812092485,-0.3161273356264353,-0.35244201753167054,0.5175381075554574,0.2423105549346283,0.3904172104260709,0.8193201469341855,-0.32068327239533134,0.09029506921217247,0.4950549476794899,0.23528237730073573,-0.3424144553978029,-0.0370777681262112,0.624956896687732,1.2013365287919333,1.5629305979775947,-0.41238681721309106,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,-0.24880183540021636,-0.5801502980937577,-0.47313086282362576,-0.12560636196424435,0.02078495693861906,-0.21368946948409812,-0.675561793207077,-0.5450643367778233,-0.2552569998108446,-0.24945579178701993,0.39947479641178213,0.14416410636329663,0.3374292612432293,0.668580643907381,0.5335726802364541,-0.2851690549439773,-0.31509134337960804,1.026892069741347,-0.9394276968430995,-0.9451381961147407,0.2410618998483463,1.936612269385378,0.5416960327892859,-1.6628491693412935,1.0,0.0,0.0,0.0,0.0,0.0,0.0
