num_change_points_diff,std_diff,mean_amplitude_envelope_diff,loudness_diff,zero_cross_diff,ber_diff,spectral_centroid_diff,spectral_bandwidth_diff,label
16.0,110.07327270507812,0.014308624,0.008947921,0.018847656249999997,[-30.473623  -24.401497    0.9276371  17.649061   24.779842 ],660.7512931279175,474.4360480013029,transition
-1.0,-409.9132080078125,-0.006717449,-0.004997651,-0.0033203124999999986,[ -6.4432707  -7.3663883 -18.444918  -25.071308   -3.0821762],148.21136862117396,364.124935502331,transition
-16.0,-73.670654296875,-0.0031531323,-0.00090009347,-0.014746093750000001,[  5.889841  -10.3351555 -17.67258   -20.712355  -21.718712 ],15.026154695072591,260.2824209788564,transition
6.0,-283.3005676269531,0.0017536897,0.0016314592,-0.020703125000000003,[  3.8026657   7.1337166   7.3528366  -2.3819923 -13.195751 ],-129.56844470616943,-7.9636317024105665,transition
17.0,93.27127075195312,0.004486204,0.0018737428,0.011425781250000003,[-9.433371 -6.459564  4.750183 28.47731  30.946749],271.9761045659045,69.12457586458027,transition
-1.0,33.868743896484375,-0.009814938,-0.006575848,-0.0017578125000000007,[ -3.5900536  -8.7005005 -50.675613  -21.133945    6.6941204],144.00017002185064,204.05387701300106,transition
-11.0,182.5008544921875,1.4481007e-05,7.5656935e-06,-0.016015624999999978,[-0.5208845  -0.9598236  -1.2594407  -0.569648    0.06914377],184.35863256719313,323.947454904162,transition
11.0,316.7423095703125,-6.8811405e-06,-2.6856742e-06,-0.02880859375,[-0.2156303   0.15707397 -0.16117358  0.21877098 -0.02273464],-112.16172465365753,-6.482040009559114,transition
-12.0,27.065185546875,-0.0006132985,-0.000352262,-0.0018554687499999917,[  3.9071198  -6.214184  -53.656815  -26.439926    4.197626 ],-27.596708778052744,77.15812282892261,transition
7.0,85.20301818847656,0.0082394285,0.007403056,0.001953125,[ 165.42436  463.19543  585.8454  -203.76013 -140.60214],-172.70381574830617,-313.1908238704125,transition
3.0,-66.72091674804688,0.001374932,0.0023055943,0.006249999999999999,[  6.249712    3.7392998 -49.401443   22.407108   22.403816 ],-164.99761668782799,-182.64905267216454,transition
0.0,87.1788330078125,0.013784125,0.00915691,0.01904296875,[ -9.616543   -5.416912  -19.751808    1.6423416   2.732708 ],370.2610175305899,127.91422278227697,transition
8.0,162.50570678710938,0.00500614,0.0033377185,0.005175781249999999,[ 30.68459   32.944603 -44.33882  -52.276657 -24.84731 ],-161.06554883081162,-177.80832477292552,transition
0.0,-53.92376708984375,-0.0019284002,-0.0018575713,0.004492187500000001,[-0.8879633  3.5459557 -6.5069046 23.878265  26.13603  ],-111.2872731285388,-187.95742449397517,transition
-11.0,-78.08355712890625,-0.0048823934,-0.003432273,0.010644531250000006,[  8.395399   14.710632  -20.523254  -11.441124   -1.0013275],78.55063420811916,0.351842271040141,transition
1.0,-107.121826171875,0.003723368,0.0043195393,-0.0017578124999999972,[-13.06002   -25.955488  -24.038044   -4.0407524   9.682514 ],143.0853543563435,204.13653025450958,transition
-10.0,65.49142456054688,0.003093915,-0.00034064986,0.005273437499999999,[-23.618902    2.400814    4.451599    3.5419178   9.520624 ],213.062044881676,97.04807157764503,transition
-9.0,-48.011016845703125,-0.012368228,-0.008755513,-0.0012695312499999972,[ -4.505375   10.445419   -4.0942593 -33.75716   -18.726866 ],49.68661152518007,76.03895536213122,transition
-4.0,-56.7305908203125,-0.00018396432,-9.819133e-05,-0.012109374999999992,[-36.45671    -29.23324    -14.921591    -0.65688515  -1.2563076 ],-78.7835970738829,227.2669515707771,transition
-27.0,41.81201171875,-5.8237183e-06,-3.4727582e-06,0.0595703125,[-1.5465715  -0.68357444 -0.26166284 -0.18298638 -0.25974035],737.4992543841472,11.241211066299456,transition
28.0,55.8121337890625,0.00041142188,0.00025796343,0.013574218749999992,[-2.896102  -0.3467865 33.5674    56.200226  32.082787 ],-258.3223591686324,-631.893203840086,transition
23.0,264.6212463378906,-0.005466108,-0.0050956667,0.015234375000000001,[ -8.861101    5.236763  327.54483    47.648666    7.1023293],190.77474427014863,19.566489613770955,transition
1.0,14.168228149414062,0.004159795,0.0038179532,0.0027343750000000007,[ 33.00926   75.27592  372.3169   -69.2773   -31.904648],-35.83986926177681,-44.155788341857715,transition
0.0,-25.615814208984375,-0.0009476226,-0.000326694,0.0012695312499999972,[ 22.118868  45.92191  121.03446  -48.27845  -34.443428],148.84593334032252,63.0439736783394,transition
-8.0,-61.5103759765625,-0.0058713276,-0.0040594074,0.0001953124999999993,[   0.62174416   11.039162   -119.87396     -21.367111      0.698761  ],-3.6517350610276935,-36.13917879984706,transition
-14.0,94.41073608398438,-0.008978773,-0.007006445,-0.004687500000000001,[   5.961508     3.8692265 -143.47722    -67.662994   -17.701618 ],298.9695490562631,536.4998684141701,transition
12.0,-133.13076782226562,-0.001817748,-0.0012419634,0.013574218750000002,[11.011907   6.338972  14.474021   9.924076  -2.2226143],-155.42746931709826,-271.5461635299887,transition
-3.0,0.830535888671875,0.0029993597,0.0007796101,-0.005664062500000001,[ 12.728901    -0.87078094 -26.450832   -22.55083    -20.464561  ],238.71381004217778,401.889793591846,transition
-4.0,61.96443176269531,-0.0039982796,-0.0027254764,-0.0031249999999999993,[-8.658387   -1.1280174  20.080366   14.643766   -0.93124104],-56.66889468995555,-131.51077208862012,transition
2.0,-95.09518432617188,-0.0019817501,-0.003945278,-0.00634765625,[ 9.239945    8.63792    -4.559475    0.06736946 -9.247499  ],-43.13718582188221,-48.71507167542177,transition
18.0,30.495086669921875,-0.01015285,-0.006702125,-0.0032226562499999972,[ 15.955142   19.105446  -10.6753235 -32.660034  -66.72006  ],21.34550443444732,-18.646210690385715,transition
-8.0,-173.39654541015625,-0.010556599,-0.007252979,-0.006738281249999999,[-23.912336  -19.412153   -5.1677303  16.495361   16.481377 ],-256.6063647485357,-159.5921423955706,transition
3.0,-20.885971069335938,-0.006979594,-0.005060393,-0.00732421875,[ 1.8834095  -0.52383995 -3.0805092  -3.0136871  -0.7492914 ],4.573039841611944,28.883023293673205,transition
-42.0,31.9617919921875,0.019667767,0.013449255,-0.043847656250000006,[13.831602  20.94204   32.271126  26.871786  11.5387125],-661.3031629252594,-518.902993221509,transition
-15.0,-67.8997802734375,-0.00038888538,-0.00023409259,-0.013183593749999997,[-15.889109  17.891323  48.803497  14.055231  -9.853796],-200.1599275405863,-105.25099579127345,transition
-6.0,279.2607727050781,-0.00016075838,-0.0007277946,0.01220703125,[ -2.6092167  -3.9584618 -19.65345     1.9872093   2.285142 ],226.66567498119707,104.67246966562811,transition
12.0,420.0456848144531,0.0041843355,0.002307619,0.00849609375,[ 36.395256  33.247055  -2.40176  -20.178099 -37.947746],309.8046411470375,66.59843754357416,transition
4.0,11.812713623046875,0.014670659,0.0119721,0.009179687499999999,[ 2.50465   13.57547   50.43544   -5.806408  -4.7893047],-23.909740950543778,-89.09035987230482,transition
-8.0,41.8934326171875,0.008878587,0.0056288308,0.00927734375,[  0.28923798   8.397579   -24.697586   -25.4762      -7.8001738 ],225.4143608478671,197.79723731508693,transition
-2.0,121.22515869140625,0.003946524,0.00063150935,0.015625,[-2.8543549 -9.395748  10.900725  13.1634245 13.711399 ],-319.4479162109435,-380.5625218736643,transition
-12.0,-151.5621337890625,-0.011423532,-0.0062941853,-0.007714843749999999,[-13.698364    4.3335266 -13.81319   -33.171333  -13.219723 ],-53.41809280106486,175.47106466464334,transition
-21.0,-86.20843505859375,0.0068873353,0.005120985,-0.010839843750000001,[ 5.8248615 -1.4419975 11.193874  14.774851   4.65067  ],-278.12002882008983,-340.10627352669553,transition
3.0,-94.416748046875,-0.014743623,-0.009874828,-0.014550781249999999,[26.22224   20.97481   17.420176   2.5990524 -2.279007 ],-240.64190017316514,-249.48244357015528,transition
8.0,147.69485473632812,0.0009597214,0.0009224061,0.0040039062499999944,[ 2.1768503  4.0700665 10.144997  16.296635  10.276787 ],-157.86895600778166,-210.89191285879383,transition
3.0,-104.48638916015625,-0.005652376,-0.004247605,-0.012695312499999997,[-16.670412 -12.1931    17.49073  -14.818306  -5.313858],-124.70946689031302,95.089539632688,transition
-1.0,-61.129783630371094,-0.0040613688,-0.0037128762,-0.004492187499999998,[ -9.29726    9.43227    7.158081 -33.273697 -12.801764],55.54149978675946,159.43484992341246,transition
7.0,-518.1407470703125,0.0033227452,0.0031884303,-0.0022460937499999972,[ 2.0238743 17.74899   45.565735   6.0730915  1.2125502],-343.08895319173985,-323.0726597178825,transition
-3.0,-146.25552368164062,0.0012557078,-0.0008721864,-0.011914062500000003,[-77.246704   -57.323074   -24.649712   -10.321136     0.16857338],89.04990835416595,255.54306764609578,transition
2.0,329.3944091796875,0.01401753,0.007832205,0.035253906249999994,[-11.550252 -14.962666 -26.112226  -9.127611   6.431446],709.4684741259175,305.63027065932124,transition
-27.0,-247.0025634765625,0.008143235,0.0055091213,-0.00732421875,[-8.790234    0.28511524  7.316758   11.918473    8.708268  ],-208.69140805421512,-54.13932876240642,transition
26.0,313.7235107421875,-0.0037007034,-0.004070705,0.020410156250000006,[ -0.7131977  -2.3399982 -13.171477  -11.509676   -6.586422 ],517.6643790712117,257.97218913943016,transition
12.0,108.56517028808594,-0.021995563,-0.016836723,-0.002148437499999996,[ -9.811561    1.3349419  -2.6596813 -13.540075   11.6406   ],109.9511632550657,63.92043310236431,transition
