id,num change points,standard deviation,zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid,spectral bandwidth,pitch stability,is_transition
47,-0.4262943228128458,0.14454340709033148,-0.37214376244038644,-0.5437094099474163,-0.5185440077390259,-0.15088085728612602,-0.40069827784349926,-0.20533492816700738,-0.030097702553823654,0
48,-0.39150074540157387,0.4484751874482695,-0.3171809953478245,-0.6340594077859993,-0.5840935175038925,-0.32687126045770515,-0.20876784103688395,0.094649704385414,-0.03009770255444933,0
49,-0.1827392809339422,0.1206582223913325,-0.38784741018111835,-0.5985122837333474,-0.5798873366089435,-0.0730709692445867,-0.3450893428715405,-0.34395535021103696,-0.03009770255376693,0
50,-0.2523264357564861,-0.798007556335058,-0.4536064350954336,-0.6618755053651464,-0.6463501755667841,0.5050991788311633,-0.6071121578289485,-0.9297634920267573,-0.030097702549891754,0
51,-0.21753285834521416,-0.7331179503551561,-0.4565508690468208,-1.0735185883177343,-1.0456888238305804,-0.06210754428373515,-0.5894780080768415,-0.47823631505920844,-0.030097702550348156,0
52,-0.2523264357564861,-0.522846297710276,-0.4025695799380546,-1.1002223529099149,-1.072547938076759,-0.1618056611511356,-0.6300393797169822,-0.5108032675313958,-0.030097702551553883,0
53,-0.2523264357564861,-0.8679950884232254,-0.5566616233939872,-0.8994140395170306,-0.902352369577114,0.028049618995509982,-0.828908245139754,-0.7850201895384542,-0.030097702549341493,0
54,-0.8090236743368372,-1.0701104403507686,-0.7146795787851027,-0.24157327647386773,-0.2906350897134843,0.4843817815537796,-0.9004070197874269,-0.8389902505585,-0.030097702547293537,0
55,-0.6350557872804775,-1.0490278214268551,-0.7087907108823283,0.07687234406238816,-0.08638986685177033,1.1170006352161488,-0.8693861114257125,-0.8181281823624574,-0.030097702547547307,0
56,-0.4958814776353897,-0.8087866246152747,-0.6440131639518089,0.1793484774601305,0.023655815043586107,1.3281017128765475,-0.7939204314281783,-0.688335346082452,-0.03009770254981118,0
57,-0.6002622098692055,-1.067113536073031,-0.5674578812157405,-0.03238741550144506,-0.15885131077360962,2.2602585534742543,-0.8138044926370738,-0.7354689249756488,-0.030097702547330303,0
58,-0.4958814776353897,-1.3121456583087339,-0.6773834154008642,-0.12550825928295475,-0.20558440505146447,4.076936271103131,-0.8771880306377481,-1.2391446926612772,-0.03009770254328566,0
59,-0.4958814776353897,-1.0586495828654279,-0.5753097050861063,0.045663395090068185,-0.05794198983960355,3.0691657858042114,-1.0559847777420261,-1.9530415994535435,-0.030097702547432884,0
60,-0.6350557872804775,-0.7848934176870641,-0.6391057740328301,-0.37892261296764257,-0.4467890256651482,2.7607594116551253,-0.9681210060852251,-1.5524587998933783,-0.030097702549987886,0
61,-0.5306750550466617,0.1976722244902427,-0.6076984785513662,-0.2992729201476284,-0.33749759482426633,1.5399628691322682,-0.7706935821198019,-0.9026057763871593,-0.03009770255394544,0
62,-0.6350557872804775,-0.9089913871970515,-0.6116243904865492,-0.026046801656404987,-0.1600827231714012,1.729257733552358,-0.6465407287609876,-0.35974551800531723,-0.03009770254898675,0
63,-0.6002622098692055,-1.2768186187798394,-0.6528464658059705,0.5452253159807068,0.23166359758810837,3.3563320037232067,-0.7939671284431743,-0.9256321313411272,-0.030097702544035026,0
64,-0.7046429421030214,-1.3135605288470038,-0.6813093273360473,-0.5110502878304065,-0.5598314707842069,1.083720918896496,-0.8117711283396798,-0.6290515088743884,-0.03009770254325407,0
65,-0.4958814776353897,-1.2169045999127253,-0.6283095162110768,-0.5259332521457717,-0.6034846456961398,1.6007182405567517,-0.7889588431050816,-0.5542268692637252,-0.030097702545153777,0
66,-0.4958814776353897,-1.0154845747021006,-0.6243836042758938,-0.0286482299968673,-0.10356928279917096,2.801470771850326,-0.9998888729534309,-1.5101997286842395,-0.03009770254792893,0
67,-0.4610879002241178,-0.9846391033833547,-0.510532158155587,-0.26056575690593914,-0.28401387322946514,2.1687054376771355,-0.8658728710422239,-1.1225296728951775,-0.030097702548257874,0
68,-0.4958814776353897,-1.2978273830560731,-0.6606982896763365,-0.12465476835818026,-0.27740829419222546,2.2379146342903375,-0.6449138500564681,-0.08181674830030798,-0.03009770254359831,0
69,-0.6002622098692055,-1.4175573490381892,-0.5762911830699021,-0.08857106870521393,-0.25612273316595574,2.6053134063952856,-0.8155040333831546,-0.8355975166630655,-0.030097702540520646,0
70,-0.7046429421030214,-1.3631983227886735,-0.6067170005675704,-0.6735092511883044,-0.7461888429016659,1.2138986020947573,-1.001082930632611,-1.234463487446377,-0.030097702542058638,0
71,-0.5306750550466617,-1.3912685039116532,-0.5811985729888809,-0.9057021321747898,-0.912957791937604,1.5105539412947542,-1.0180849195747537,-1.496660130036209,-0.030097702541298055,0
72,-0.7742300969255652,-0.9585146136777923,-0.5439024096046425,-0.582684457201991,-0.668170223062532,3.242307871103421,-1.161081686692352,-2.3946201967281815,-0.030097702548521416,0
73,-0.6350557872804775,-1.100155192916328,-0.5900318748430426,-0.39482479404090454,-0.5023034962480236,2.6978744315400705,-1.1182814869620208,-1.9918827804986239,-0.030097702546911638,0
74,-0.6350557872804775,-1.4419738560056614,-0.5890503968592469,-0.49147577688799615,-0.5625917724295059,0.8976306893253955,-1.0206908145381284,-1.338470882269882,-0.030097702539734424,0
75,-0.6002622098692055,-1.4163836969045267,-0.5841430069402681,-0.9275589353032075,-0.9263650574784121,0.8824133025382653,-1.063468758523064,-1.4597865727467512,-0.030097702540556815,0
76,-0.6002622098692055,-1.2500605735222878,-0.670513069514294,-1.0298239167997512,-1.0229476284184689,0.9387646154181729,-1.1887412582491765,-1.852966539658612,-0.030097702544556397,0
77,-0.7046429421030214,-1.6799005394118194,-0.7343091384610176,-1.0467154920566932,-1.036889965006205,0.44705991673373313,-1.1804275333864371,-1.487845208202854,-0.030097702526028957,0
78,-0.7394365195142933,-1.6567773411405944,-0.7343091384610176,-1.081775648659565,-1.068391902966167,0.03896357423809205,-1.0060048207213383,-0.7290912422415123,-0.030097702528165404,0
79,-0.8090236743368372,-1.6502357898162288,-0.7343091384610176,-1.0992661125454435,-1.0840992250189079,-0.1854494863823673,-0.8717225346681896,-0.14815713491749985,-0.030097702528720304,0
80,-0.8090236743368372,-1.645973429019288,-0.737253572412405,-1.1250829151322128,-1.1055970927006789,-0.06940235086839734,-1.0329076730680564,-0.6735001795898597,-0.030097702529071207,0
81,-0.7742300969255652,-1.6705478234854318,-0.7343091384610176,-1.1397895686195452,-1.1179965238831489,-0.27821605676007855,-0.9301853229263983,-0.14261904034584524,-0.0300977025269279,0
82,-0.8090236743368372,-1.7025072565386123,-0.733327660477222,-1.1509207795514982,-1.1280865772835704,-0.4137009101579319,-0.7495426878555813,0.4337741255913318,-0.030097702523632034,0
83,-0.8090236743368372,-1.9432622081901658,-0.7352906164448135,-1.1645071144375156,-1.1391351207684608,-0.47561366083908263,-0.7237259989827677,0.7448800241929838,-0.030097702400919434,0
84,-0.8090236743368372,-1.9756095755657117,-0.7313647045096304,-1.1767040065055692,-1.149429303590605,-0.4843022743251826,-0.5719736993061416,1.0569530090630186,-0.030097702262161276,0
85,-0.8090236743368372,-1.9307286595792645,-0.705846276930941,-1.184676887133903,-1.1555392020536015,-0.6004463000914552,-0.10694474369487621,1.8407787315772544,-0.03009770242515148,0
86,-0.8090236743368372,-1.9456147143717455,-0.713698100801307,-1.186699255684669,-1.1573514560858278,-0.5785822878016573,-0.2571124696263633,1.6635700214886637,-0.030097702395357917,0
87,-0.8090236743368372,-1.9134566810066442,-0.5880689188754512,-1.196126105779096,-1.1659454216558365,-0.6585732793282243,0.3130295745782229,2.5249852265540635,-0.030097702448488993,0
88,-0.7394365195142933,-1.7581593909286453,2.0943104108383306,-1.2033296382606582,-1.1713421564671893,-0.7337921245782623,2.138941896878661,2.798240301794151,-0.030097702515915377,0
89,-0.5654686324579336,1.0971612653976746,2.38286493807428,-1.2029950394421673,-1.1708109663808546,-0.741276152232604,2.5370929778100764,2.7336805310477184,-0.030097702555375628,0
90,-0.5654686324579336,0.5811109146746072,1.496590318706719,-1.2012449102637606,-1.1684988836436292,-0.7374965614894998,2.22784278831204,2.6570303244064744,-0.030097702554676413,0
91,-0.5306750550466617,1.8187395240770505,3.0433996211688195,-1.1966268506669042,-1.1625930092756565,-0.7492128235902028,2.7426218190633995,0.7298803966110698,-0.03009770255603748,0
92,-0.4610879002241178,-1.8678357989848722,2.955066602627202,-1.1911032471889917,-1.1549509801288642,-0.7481206566083497,2.6720938498795435,0.7229869753420305,-0.030097702483320127,0
93,-0.2523264357564861,2.2971186897566502,2.8794927978749296,-1.1421897955308635,-1.0923430549568618,-0.751238543160253,2.8418979281651677,1.1906300708458954,-0.03009770255635409,0
94,-0.39150074540157387,0.8035635201544377,0.021428909061708887,0.4309005642473176,0.19542958737903418,-0.4646782253240941,0.00021458918167935838,0.6728633744863352,-0.030097702555009244,0
95,-0.39150074540157387,-0.6616862164531638,-0.5772726610536979,1.020666023564671,1.0081737537591942,-0.2818781659628114,-0.6184147699095774,-0.3611948462486863,-0.030097702550799854,0
96,-0.5654686324579336,-0.8256951774025081,-0.5478283215398254,0.9294802437573763,0.5748104144172357,-0.08619442725490671,-0.7706099370228193,-0.7217709933570404,-0.030097702549681832,0
97,-0.21753285834521416,-0.5387823557613286,-0.5969022207296129,-0.6548652968556847,-0.6940649215270465,-0.16520291931833797,-0.8773212087741906,-0.7233410447278189,-0.030097702551474554,0
98,-0.32191359057902996,-0.26997560517294966,-0.510532158155587,0.3692743200909721,0.20374300943557036,-0.5313814142645891,-0.17641816104282412,0.8725838558313558,-0.03009770255261848,0
99,-0.6350557872804775,-0.4556847964176383,-0.5772726610536979,0.44946208829259593,0.4325904665566042,-0.43932757427231595,-0.401066453104506,0.3168222980075486,-0.030097702551870366,0
100,-0.6698493646917494,-0.2921973806449156,-0.3888288881649141,0.37716928419682416,0.4699724407325254,-0.43001731061306936,-0.327953641248788,0.28839722784195065,-0.03009770255253747,0
101,-0.4958814776353897,-0.14811152566480776,-0.506606246220404,0.5101942320614039,0.574760286900924,-0.39335672960010476,-0.37237030612265165,0.20055120369633328,-0.030097702553028405,0
102,-0.6002622098692055,0.1023089775155542,-0.4437916552574761,0.5348852468924715,0.6221651337406645,-0.2946819512322672,-0.45000199021439324,-0.09432643415362969,-0.030097702553722478,0
103,-0.7394365195142933,-0.3062039922927043,-0.48501373057689756,0.33441709543412335,0.2631223407549514,-0.14999739369172857,-0.6971060812681181,-0.5979988619795126,-0.030097702552485322,0
104,-0.6698493646917494,0.2515932370248031,-0.5802170950050851,-0.016785998261771493,-0.10421911370669296,-0.3989364413031258,-0.5270490098633375,0.14265140277332247,-0.03009770255406319,0
105,-0.4262943228128458,0.3895398805449751,-0.41238435977601207,-0.11836318582471482,-0.09879379654039616,-0.4221683081787099,-0.3580603868753473,0.28171831561807514,-0.03009770255434038,0
106,-0.32191359057902996,0.7783490520750703,-0.3839214982459354,0.14730668839779332,0.20367066797617006,-0.4138252353709513,-0.22981565302293191,0.3166720832967719,-0.030097702554974185,0
107,-0.4262943228128458,0.7970588961539117,-0.330921687120965,0.09532069230377306,0.17328155539791434,-0.3202139671429836,-0.26342866126575387,0.12089517326669198,-0.03009770255500026,0
108,-0.4958814776353897,0.24067979640529155,-0.4398657433222931,0.35968875636202663,0.40807284988312825,-0.27077385355870115,-0.22930201956614785,-0.007299142359778023,-0.030097702554039815,0
109,-0.28712001316775804,0.5999783955574572,-0.4457546112250676,0.09593617947377467,0.14600736376038131,-0.15252825676381948,-0.31999210947801515,-0.2620319684334372,-0.030097702554706847,0
110,0.09560933835623332,0.794123161373913,-0.19449624737335583,-0.15011124848877194,-0.09984640131076097,-0.1644222524484537,-0.3210126513262676,-0.33931890763478745,-0.030097702554996192,0
111,-0.14794570352267028,0.27688632295044446,-0.32503281921819044,-0.03672512911060922,0.025970887888757763,0.0051721404525581875,-0.3931825328017164,-0.43389295856102705,-0.03009770255411652,0
112,-0.14794570352267028,0.1488336952727152,-0.37901410832695664,0.16871895058191702,0.20223333817172193,-0.12541634391495862,-0.29278555295278,-0.2638290496881935,-0.030097702553833715,0
