num_change_points_prev,std_prev,mean_amplitude_envelope_prev,loudness_prev,zero_cross_prev,mean_ber_prev,spectral_centroid_prev,spectral_bandwidth_prev,num_change_points_next,std_next,mean_amplitude_envelope_next,loudness_next,zero_cross_next,mean_ber_next,spectral_centroid_next,spectral_bandwidth_next,is_transition,is_not_transition
,,,,,,,,30.0,395.1053161621094,0.056134387850761414,0.0373636856675148,0.03293185763888889,60.946533203125,915.1225404764308,1230.5396927140678,1,0
29.0,621.5211791992188,0.03756144642829895,0.025233395397663116,0.04123263888888889,48.91563415527344,1225.8998666093878,1463.427282498016,,,,,,,,,1,0
,,,,,,,,36.0,533.0289306640625,0.024973765015602112,0.01642444171011448,0.043619791666666664,60.86354446411133,1183.341589965265,1404.6125301736652,1,0
96.0,525.513916015625,0.02624654769897461,0.017626898363232613,0.050130208333333336,81.62236785888672,1088.658489362784,1316.6703442948358,,,,,,,,,1,0
,,,,,,,,50.0,516.63720703125,0.019597595557570457,0.012740937992930412,0.05517578125,53.40387725830078,1277.2760636190064,1531.0393050693647,1,0
45.0,612.8989868164062,0.030958399176597595,0.018248597159981728,0.04823133680555555,43.61954116821289,1378.486978316036,1515.2500525447876,,,,,,,,,1,0
,,,,,,,,41.0,452.21533203125,0.028008632361888885,0.018665002658963203,0.04443359375,31.89898681640625,1436.9438117910079,1675.5998148381232,1,0
55.0,251.5508270263672,0.03101133368909359,0.023094607517123222,0.030490451388888888,40.892822265625,1042.1465365277954,1503.9914045538212,,,,,,,,,1,0
,,,,,,,,51.0,359.3256530761719,0.021085714921355247,0.012706523761153221,0.043782552083333336,26.994108200073242,1317.621030391609,1680.644477615595,1,0
47.0,439.0045166015625,0.03601013123989105,0.023575104773044586,0.03526475694444445,36.8785285949707,1218.4453298594299,1573.905786915289,,,,,,,,,1,0
,,,,,,,,48.0,418.3231201171875,0.011659621261060238,0.007497324608266354,0.047200520833333336,20.240388870239258,1511.7868900614203,1855.0538883167765,1,0
174.0,1285.9554443359375,0.0008680096361786127,0.0005159126012586057,0.134765625,43.85416030883789,2055.7717043914286,1652.6454012875606,,,,,,,,,1,0
,,,,,,,,70.0,1123.06201171875,0.0007864997605793178,0.0004484266391955316,0.08555772569444445,26.29365348815918,1783.492584846003,1727.1313054686018,1,0
67.0,1105.6639404296875,0.0001283339224755764,9.973141277441755e-05,0.2686631944444444,4.321934223175049,3418.266482242171,2807.237760164715,,,,,,,,,1,0
,,,,,,,,280.0,1078.2164306640625,1.738392711558845e-05,7.229377843032125e-06,0.4872504340277778,1.490236759185791,4814.810305491687,3176.3102794573515,1,0
84.0,1022.1954956054688,0.0003339878167025745,0.000200345937628299,0.1464301215277778,10.656468391418457,2436.894757191523,2255.864858981464,,,,,,,,,1,0
