num_change_points_prev,std_prev,mean_amplitude_envelope_prev,loudness_prev,zero_cross_prev,mean_ber_prev,spectral_centroid_prev,spectral_bandwidth_prev,num_change_points_next,std_next,mean_amplitude_envelope_next,loudness_next,zero_cross_next,mean_ber_next,spectral_centroid_next,spectral_bandwidth_next,0
62.0,1214.954833984375,0.1168698221445083,0.0633606910705566,0.0808376736111111,17.064495086669922,1983.212101631476,1867.3031222216769,,,,,,,,,is_not_transition
,,,,,,,,119.0,1090.3673095703125,0.0017151932697743,0.0010804999619722,0.1733940972222222,40.11280822753906,2250.934338232676,1863.5874485180811,is_transition
15.0,871.424560546875,0.0129107646644115,0.0059357639402151,0.3020833333333333,3.5874485969543457,4246.57365775912,2136.701188284605,,,,,,,,,is_not_transition
,,,,,,,,51.0,784.5021362304688,0.128216803073883,0.0710197761654853,0.0638563368055555,27.24135398864746,1899.2045000671783,1827.475265894639,is_not_transition
,,,,,,,,68.0,703.7115478515625,0.0251480750739574,0.0146522093564271,0.0714518229166666,26.53905868530273,1938.8337755653704,1770.877452337661,is_transition
30.0,380.5791931152344,0.0422292724251747,0.0228111241012811,0.2071940104166666,3.1876895427703857,4138.283767645984,3022.1258313584,,,,,,,,,is_not_transition
,,,,,,,,31.0,860.9193115234375,0.0245864503085613,0.0157380606979131,0.0478515625,33.83216094970703,1483.5625440750575,1619.20681719115,is_not_transition
,,,,,,,,36.0,747.9927978515625,0.0573360882699489,0.035767525434494,0.0623914930555555,20.61797332763672,1728.217130515919,1953.1464029595315,is_not_transition
,,,,,,,,63.0,681.3903198242188,0.0911736264824867,0.0552510134875774,0.0649956597222222,31.004594802856445,1705.4629734528032,1642.4089757384552,is_not_transition
24.0,573.0647583007812,0.0226877909153699,0.0155620044097304,0.0308159722222222,36.15663909912109,1191.0374166093804,1593.397180676549,,,,,,,,,is_transition
0.0,880.4486694335938,0.0312555655837059,0.0199464559555053,0.0450303819444444,14.337860107421877,1782.151446069388,2261.038339501667,,,,,,,,,is_not_transition
,,,,,,,,37.0,417.6256713867188,0.0405144803225994,0.02681415528059,0.0353732638888888,86.32286834716797,1143.7060903347883,1481.084029417069,is_not_transition
,,,,,,,,42.0,806.28564453125,0.0072583709843456,0.0054878648370504,0.0949978298611111,16.499256134033203,2038.222217954266,2079.1089294865187,is_not_transition
59.0,722.0534057617188,0.0854148641228675,0.0482964627444744,0.0655381944444444,22.03156280517578,1766.2489756644843,1840.5991595244516,,,,,,,,,is_transition
,,,,,,,,23.0,614.956298828125,0.0777715742588043,0.0470112524926662,0.0546875,14.379281044006348,1643.1727478276707,2008.324269318594,is_transition
72.0,530.5025634765625,0.0682820081710815,0.0435676611959934,0.0549587673611111,35.284358978271484,1481.2268201952725,1639.3756431531526,,,,,,,,,is_transition
,,,,,,,,16.0,567.9406127929688,0.0352128855884075,0.0228896960616111,0.041015625,42.45115280151367,1312.5499956137917,1593.8194825068583,is_transition
51.0,526.212158203125,0.0818114504218101,0.0467449389398098,0.0569118923611111,23.80846405029297,1535.8133741558709,1728.528047591622,,,,,,,,,is_transition
4.0,413.53369140625,0.0638761818408966,0.0449474304914474,0.0302191840277777,39.39909744262695,1123.7282906853495,1621.6097925047309,,,,,,,,,is_transition
,,,,,,,,2.0,879.4528198242188,0.0170734785497188,0.0107989702373743,0.0283203125,107.77860260009766,1306.1323103000143,1591.887644444649,is_not_transition
,,,,,,,,7.0,826.8134765625,0.0244669392704963,0.0113279102370142,0.234375,12.25118350982666,3472.2990783241507,1557.1004611284336,is_not_transition
295.0,1112.79052734375,3.5427538023213856e-06,2.4864762053766758e-06,0.3674045138888889,0.9673278331756592,5558.555153483383,3143.340077894324,,,,,,,,,is_not_transition
,,,,,,,,33.0,785.4338989257812,0.0657548159360885,0.0378442555665969,0.07080078125,19.393028259277344,1923.166180391232,2018.1060828002533,is_not_transition
,,,,,,,,19.0,667.2711181640625,0.0420911163091659,0.0238451734185218,0.0700412326388889,6.614698886871338,2284.794657936464,2487.716763345305,is_transition
,,,,,,,,10.0,663.8485107421875,0.0280462484806776,0.0191472694277763,0.0265842013888888,22.75113677978516,1331.4315733463586,1835.64424392339,is_transition
7.0,352.77703857421875,0.0083237756043672,0.0060422024689614,0.0194227430555555,122.64305114746094,546.3480033632547,1014.6067545082974,,,,,,,,,is_transition
49.0,889.6671142578125,0.0290683452039957,0.0171088147908449,0.0831705729166666,28.697513580322266,1916.8356745326391,1761.022308100878,,,,,,,,,is_not_transition
,,,,,,,,31.0,1020.2880249023438,0.0352809950709342,0.0187449883669614,0.1048177083333333,22.25828742980957,1997.712368599656,1859.96581948944,is_not_transition
,,,,,,,,64.0,364.0273742675781,0.0692253708839416,0.0410474389791488,0.0464952256944444,67.22361755371094,1046.7839488879324,1308.0365302618702,is_transition
,,,,,,,,21.0,474.9071044921875,0.0921206250786781,0.0585930794477462,0.0416666666666666,13.696346282958984,1744.897340835092,2223.824985880832,is_transition
,,,,,,,,31.0,566.7442626953125,0.0197302512824535,0.0128454901278018,0.0659722222222222,6.799707412719727,1942.6303519899643,2500.6498267037628,is_not_transition
50.0,755.7294311523438,0.1074860990047454,0.0597673207521438,0.0670572916666666,13.909998893737791,2161.890987113852,2041.5360504412463,,,,,,,,,is_not_transition
,,,,,,,,58.0,405.40924072265625,0.0483771711587905,0.0299078188836574,0.0503472222222222,61.13546371459961,1218.558175020946,1379.3663191170772,is_transition
,,,,,,,,87.0,641.46044921875,0.0561394728720188,0.0330557040870189,0.05419921875,80.19388580322266,1389.7195246798829,1406.7798527252512,is_transition
,,,,,,,,16.0,623.6575317382812,0.0913509577512741,0.0571327023208141,0.0433485243055555,27.923980712890625,1456.6482124013012,1687.641460719172,is_transition
35.0,754.494384765625,0.0892537906765937,0.0533408932387828,0.0643988715277777,22.33135986328125,1862.561399058528,1897.74411408012,,,,,,,,,is_not_transition
,,,,,,,,14.0,569.3397216796875,0.0300213191658258,0.0188088025897741,0.0374348958333333,34.353721618652344,1479.4543350638332,1764.2203846593663,is_transition
,,,,,,,,10.0,827.6783447265625,0.0475677214562892,0.0291935373097658,0.0417209201388888,41.378719329833984,1229.4155384980031,1543.1893456137375,is_transition
,,,,,,,,19.0,578.3778686523438,0.0469369255006313,0.029169013723731,0.0543077256944444,51.42105865478516,1271.5525598093768,1432.4192064185602,is_transition
29.0,556.7073974609375,0.0674649029970169,0.0423154421150684,0.0409071180555555,23.097999572753903,1474.741310541608,1844.4090638032592,,,,,,,,,is_not_transition
